gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneid,regulation
ENSMUSG00000018796,374.285536747279,-2.83364281344095,0.175099097296896,-16.1830806508172,6.63879573126407e-59,5.60447135633313e-55,Acsl1,down
ENSMUSG00000027875,141.76340131062,-4.10012478557066,0.266371163576409,-15.3925249659937,1.83720820127079e-53,7.75485581756399e-50,Hmgcs2,down
ENSMUSG00000021226,125.23860649248,-2.87551235392538,0.229105066150241,-12.5510640259683,3.92204088900235e-36,8.27746729623947e-33,Acot2,down
ENSMUSG00000018574,442.241565934475,-1.73342969352612,0.148680144492915,-11.6587840255208,2.06977090534583e-31,3.49460119658589e-28,Acadvl,down
ENSMUSG00000072949,67.0358019882412,-3.36916132806316,0.311625102752412,-10.8115851332426,3.03381838056488e-27,4.26858246145478e-24,Acot1,down
ENSMUSG00000025745,821.427355856349,-1.49655970153923,0.139801502927041,-10.7048899346973,9.65453260762126e-27,1.16433663247912e-23,Hadha,down
ENSMUSG00000028773,1964.64750694282,-1.29945654173548,0.128734568574188,-10.0940761764904,5.86809851221312e-24,6.1923109550129e-21,Fabp3,down
ENSMUSG00000028383,179.463654281971,-1.97578553883504,0.20496581625525,-9.63958563887815,5.44071458813964e-22,5.10339028367498e-19,Hsdl2,down
ENSMUSG00000050195,46.7843957428067,-3.27273932372097,0.356284268886566,-9.18575308965702,4.08657679092699e-20,3.44988812690056e-17,Scd4,down
ENSMUSG00000027809,314.286427501369,-1.43601021094502,0.156508590576711,-9.17528044724915,4.50400532987359e-20,3.45661936316299e-17,Etfdh,down
ENSMUSG00000059447,683.524415403991,-1.25618688072545,0.148306457371017,-8.47021028614327,2.44950421923319e-17,1.72322621823055e-14,Hadhb,down
ENSMUSG00000032602,110.131400996546,-1.77196271612826,0.216291839905013,-8.19246217012365,2.55935684252067e-16,1.66200695881227e-13,Slc25a20,down
ENSMUSG00000028223,153.930580625454,-1.49462940353371,0.187398868240192,-7.97565864494984,1.51570324772056e-15,9.13969058375496e-13,Decr1,down
ENSMUSG00000028607,98.8636192896571,-1.65015493732581,0.219101704006126,-7.53145642938347,5.01774554709406e-14,2.82398719390454e-11,Cpt2,down
ENSMUSG00000032942,24.1030164419615,-5.14665132735177,0.690902190870687,-7.44917499952616,9.39257154556156e-14,4.95575556172692e-11,Ucp3,down
ENSMUSG00000033685,227.847196735018,-1.31886324072416,0.186438620005818,-7.07398092027826,1.5055099492095e-12,7.06084166179257e-10,Ucp2,down
ENSMUSG00000026853,323.722626995403,-1.01880114878797,0.151236043362377,-6.73649697609996,1.62250668473637e-11,7.20905338554969e-09,Crat,down
ENSMUSG00000089901,149.656471439192,-1.22204339179739,0.18608953821246,-6.56696450287374,5.13512818552684e-11,2.06432153058179e-08,Gm8113,down
ENSMUSG00000011305,16.4014317622627,-4.82987296179028,0.773825705933783,-6.241551456296,4.33251860836302e-10,1.59022269964351e-07,Plin5,down
ENSMUSG00000074064,64.4824595994763,-1.53536877259353,0.261448747001604,-5.87254209554163,4.29162682369881e-09,1.39345821714098e-06,Mlycd,down
ENSMUSG00000078937,441.004350949079,-0.965751286284228,0.167560617838443,-5.76359349077704,8.23416064782539e-09,2.48259943531935e-06,Cpt1b,down
ENSMUSG00000030747,56.2107353596742,-1.5753682905224,0.282419781591719,-5.57810887623953,2.43147459109823e-08,7.07810637863836e-06,Dgat2,down
ENSMUSG00000021417,151.801139883117,-0.99794716264436,0.183060869880555,-5.45144991005181,4.99607947105838e-08,1.36054525466693e-05,Eci2,down
ENSMUSG00000026385,119.977785799321,-1.151662070778,0.216851918389662,-5.31082260802772,1.09131516382255e-07,2.79178260999695e-05,Dbi,down
ENSMUSG00000026003,1033.4397124945,-0.65077219110655,0.126141871727936,-5.15904974448248,2.48206364176627e-07,6.16281801876202e-05,Acadl,down
ENSMUSG00000025203,202.145722176587,-0.960941938657633,0.187923764632377,-5.11346683873358,3.16299304099947e-07,7.50508043272899e-05,Scd2,down
ENSMUSG00000039639,106.715035487604,-1.08615560619333,0.212503224005534,-5.11124295302476,3.20046073890362e-07,7.50508043272899e-05,Kcne1,down
ENSMUSG00000064225,15.4042764997084,-2.84069263740025,0.556887506925872,-5.1010169954816,3.37833221171514e-07,7.67701403698705e-05,Paqr9,down
ENSMUSG00000027187,130.977963949668,-1.01244126596716,0.200001715797877,-5.062162901594,4.14526588122749e-07,8.97290629982628e-05,Cat,down
ENSMUSG00000058997,114.424260382317,-1.0783557557081,0.216117192950089,-4.98968055705377,6.04792215005056e-07,0.000127641396976817,Vwa8,down
ENSMUSG00000024525,46.9372363587706,-1.48812656739416,0.303991317500167,-4.89529299596968,9.81593693468179e-07,0.000188332135460418,Impa2,down
ENSMUSG00000002289,97.7395560334427,-1.2664077947271,0.259744072249737,-4.87559844487801,1.08479079884701e-06,0.000203506753863699,Angptl4,down
ENSMUSG00000036880,768.758975685932,-0.586478292804591,0.124078523601345,-4.72667046465595,2.28231201965395e-06,0.000409942086594013,Acaa2,down
ENSMUSG00000032418,44.5059648236859,-1.43870763073969,0.308113004885333,-4.66941546746825,3.02057956556964e-06,0.000499994758677233,Me1,down
ENSMUSG00000056666,50.3642295243848,-1.37121223738659,0.29353747111316,-4.67133627671672,2.9924656802915e-06,0.000499994758677233,Retsat,down
ENSMUSG00000050541,17.1160858769047,-2.277763352349,0.505108350843831,-4.50945494871305,6.49943945111933e-06,0.00105515899704518,Adra1b,down
ENSMUSG00000022040,107.294474673546,-0.960117007461144,0.213614014658868,-4.49463490957936,6.96894096281177e-06,0.00106966908378285,Ephx2,down
ENSMUSG00000032324,175.769813723784,-0.775140918337209,0.177354514040405,-4.37057338253379,1.23920698814272e-05,0.00166053736411125,Tspan3,down
ENSMUSG00000024900,107.005167176752,-0.902350493231872,0.207580229356102,-4.3469963205595,1.38014533650794e-05,0.00182049795793751,Cpt1a,down
ENSMUSG00000050592,41.0822498158471,-1.39757120265309,0.322437669654555,-4.33439183501847,1.46163632328328e-05,0.0018695657335087,Fam78a,down
ENSMUSG00000003948,103.859661470038,-0.939480897856811,0.21757549394017,-4.31795364837896,1.57482491131784e-05,0.00195509880902135,Mmd,down
ENSMUSG00000025153,82.8927745451011,-0.981264030210848,0.230649246033083,-4.25435611469591,2.09651418583171e-05,0.00256503952996976,Fasn,down
ENSMUSG00000042834,278.358455788092,-0.745914141692453,0.179496970789503,-4.15558066752665,3.24462438879142e-05,0.00380432209585794,Nrep,down
ENSMUSG00000027961,118.7061947238,-0.836011723588337,0.202484876289211,-4.12876131249552,3.64722775041686e-05,0.00410531955586921,Lrrc39,down
ENSMUSG00000024526,16.9748683583723,-1.93642838553824,0.485272633142807,-3.99039272624381,6.59639792006434e-05,0.00723205081054327,Cidea,down
ENSMUSG00000001555,93.0100614265011,-0.951566818598983,0.239197195825091,-3.97816878796021,6.94480665868704e-05,0.00742127314084,Fkbp10,down
ENSMUSG00000019577,180.614233323437,-1.80165369120778,0.456819846412525,-3.94390415687154,8.01657077044352e-05,0.00825315737122978,Pdk4,down
ENSMUSG00000036832,22.2555382828405,-1.68022963776742,0.429947057816535,-3.90799194277635,9.30664091746363e-05,0.00924313677943859,Lpar3,down
ENSMUSG00000040740,33.9574838496927,-1.40538529249888,0.361025319213752,-3.89276102728627,9.910976957453e-05,0.0096170652269906,Slc25a34,down
ENSMUSG00000061718,17.974238973009,-1.75224570101519,0.465413681296173,-3.76492091108109,0.000166601806348864,0.0158028365078327,Ppp1r1b,down
ENSMUSG00000038370,106.146117805125,-0.810742763282467,0.217122619231087,-3.73403179343365,0.000188438690726193,0.0176755491901169,Pcp4l1,down
ENSMUSG00000001211,167.931438648232,-0.664343118487176,0.178403063921468,-3.72383244931049,0.000196221177273728,0.0182032876763166,Agpat3,down
ENSMUSG00000024132,188.905735838908,-0.632927495971061,0.172974740756417,-3.65907469034656,0.00025312756391091,0.0222594051514157,Eci1,down
ENSMUSG00000042010,151.246485532848,-0.744960206002245,0.205318448895918,-3.62831596482539,0.000285275996498991,0.024326262246914,Acacb,down
ENSMUSG00000027864,117.702412975976,-0.774843492323535,0.215485479078945,-3.59580374341449,0.000323391545125354,0.0273007142394824,Ptgfrn,down
ENSMUSG00000028247,27.962108868906,-1.33542376136617,0.374045451003724,-3.57021789138901,0.000356684409045618,0.0295208802074814,Coq3,down
ENSMUSG00000002870,30.2437448773265,-1.31188968480627,0.368046404173702,-3.56446814838902,0.000364594720263678,0.0295952752737113,Mcm2,down
ENSMUSG00000051391,171.776857727352,-0.626268399643219,0.175659133567735,-3.56524814237301,0.000363512095583085,0.0295952752737113,Ywhag,down
ENSMUSG00000027984,308.335133870981,-0.57153824294585,0.161544731202129,-3.53795656901201,0.000403236378386441,0.031814219685405,Hadh,down
ENSMUSG00000031808,55.5004191613701,-1.00975987304503,0.28758857231243,-3.51112655459776,0.00044621191687584,0.0345589082776682,Slc27a1,down
ENSMUSG00000036854,148.503988187815,-0.764588804277477,0.218032199645245,-3.50677012625439,0.000453580800201442,0.0345851039277656,Hspb6,down
ENSMUSG00000038403,45.5099565949816,-1.01570838357224,0.296384581519078,-3.42699467821965,0.00061030103055776,0.0444151836204191,Hfe2,down
ENSMUSG00000046711,56.2117749503371,-0.950185811698832,0.27825585620656,-3.41479178426876,0.000638307855061259,0.0460563667728816,Hmga1,down
ENSMUSG00000006931,35.9497125734918,-1.10706809368167,0.328104069613643,-3.37413703824305,0.00074047495086715,0.0512384388132826,Leprel4,down
ENSMUSG00000077450,197.89439999427,-0.566065831159863,0.167894543454513,-3.37155585591275,0.000747448803314656,0.0513005105494498,Rab11b,down
ENSMUSG00000002346,26.8228865652765,-1.25773766239164,0.378856781164618,-3.3198235452598,0.000900743618233118,0.0603498224216189,Slc25a42,down
ENSMUSG00000015579,59.3519442796294,-0.861542553924602,0.260164751908866,-3.31152682138277,0.000927883447190221,0.0616786776470854,Nkx2-5,down
ENSMUSG00000062908,437.77712565111,-0.497962939219579,0.151560851517456,-3.28556440686285,0.00101778270697078,0.0655887145973078,Acadm,down
ENSMUSG00000041859,30.5289895818925,-1.20964375884518,0.36938651732803,-3.27473717122969,0.00105760320373783,0.0676385321663238,Mcm3,down
