"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0006631","fatty acid metabolic process","51/292","446/28814",3.21886449697185e-38,1.15042217121774e-34,8.40970703314119e-35,"Acsl1/Acot2/Acadvl/Acot1/Hadha/Fabp3/Scd4/Etfdh/Hadhb/Decr1/Cpt2/Ucp3/Crat/Plin5/Mlycd/Cpt1b/Dgat2/Eci2/Dbi/Acadl/Scd2/Acaa2/Ephx2/Lpl/Cpt1a/Fasn/Pdk4/Eci1/Acacb/Hadh/Slc27a1/Tecrl/Fabp4/Per2/Prkag2/Lipe/Appl2/Alkbh7/Etfb/Acadsb/Ptgds/Etfa/Ankrd23/Echs1/C3/Abcd3/Gstm7/Ppargc1a/Acot11/Insig1/Hsd17b4",51,"BP"
"GO:0019395","fatty acid oxidation","27/292","113/28814",1.64686016806027e-29,2.9429391203237e-26,2.15131944059241e-26,"Acadvl/Hadha/Fabp3/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Dgat2/Eci2/Dbi/Acadl/Acaa2/Cpt1a/Pdk4/Eci1/Acacb/Hadh/Appl2/Etfb/Etfa/Echs1/Abcd3/Ppargc1a/Hsd17b4",27,"BP"
"GO:0034440","lipid oxidation","27/292","121/28814",1.23932419687233e-28,1.47644822654057e-25,1.07929917776741e-25,"Acadvl/Hadha/Fabp3/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Dgat2/Eci2/Dbi/Acadl/Acaa2/Cpt1a/Pdk4/Eci1/Acacb/Hadh/Appl2/Etfb/Etfa/Echs1/Abcd3/Ppargc1a/Hsd17b4",27,"BP"
"GO:0006635","fatty acid beta-oxidation","22/292","76/28814",2.68066707127912e-26,1.96960455847473e-23,1.4398016417207e-23,"Acadvl/Hadha/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Eci2/Dbi/Acadl/Acaa2/Cpt1a/Eci1/Acacb/Hadh/Etfb/Etfa/Echs1/Abcd3/Hsd17b4",22,"BP"
"GO:0009062","fatty acid catabolic process","24/292","101/28814",2.75546244890141e-26,1.96960455847473e-23,1.4398016417207e-23,"Acot2/Acadvl/Hadha/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Eci2/Dbi/Acadl/Acaa2/Cpt1a/Eci1/Acacb/Hadh/Lipe/Etfb/Etfa/Echs1/Abcd3/Hsd17b4",24,"BP"
"GO:0072329","monocarboxylic acid catabolic process","24/292","122/28814",3.68091221487925e-24,2.19259670932974e-21,1.60281124865444e-21,"Acot2/Acadvl/Hadha/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Eci2/Dbi/Acadl/Acaa2/Cpt1a/Eci1/Acacb/Hadh/Lipe/Etfb/Etfa/Echs1/Abcd3/Hsd17b4",24,"BP"
"GO:0030258","lipid modification","29/292","216/28814",5.30878560307429e-24,2.71051424934107e-21,1.98141441606472e-21,"Acadvl/Hadha/Fabp3/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Dgat2/Eci2/Dbi/Acadl/Acaa2/Ephx2/Cpt1a/Pdk4/Eci1/Acacb/Hadh/Lpcat3/Appl2/Etfb/Etfa/Echs1/Abcd3/Ppargc1a/Hsd17b4",29,"BP"
"GO:0046395","carboxylic acid catabolic process","29/292","219/28814",7.93182783039715e-24,3.54354408322993e-21,2.59036798355865e-21,"Acot2/Acadvl/Hadha/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Eci2/Dbi/Acadl/Bcat2/Acaa2/Aldh6a1/Cpt1a/Bckdhb/Eci1/Acacb/Hadh/Lipe/Etfb/Acadsb/Etfa/Echs1/Abcd3/Abat/Hsd17b4",29,"BP"
"GO:0016054","organic acid catabolic process","29/292","221/28814",1.03303222378826e-23,4.10228574202136e-21,2.9988140110438e-21,"Acot2/Acadvl/Hadha/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Eci2/Dbi/Acadl/Bcat2/Acaa2/Aldh6a1/Cpt1a/Bckdhb/Eci1/Acacb/Hadh/Lipe/Etfb/Acadsb/Etfa/Echs1/Abcd3/Abat/Hsd17b4",29,"BP"
"GO:0044282","small molecule catabolic process","32/292","334/28814",8.7454892933704e-22,3.12563787345058e-19,2.28487415012056e-19,"Acot2/Acadvl/Hadha/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Eci2/Dbi/Acadl/Impa2/Bcat2/Acaa2/Aldh6a1/Cpt1a/Oxct1/Bckdhb/Eci1/Acacb/Hadh/Upp1/Lipe/Etfb/Acadsb/Etfa/Echs1/Abcd3/Abat/Hsd17b4",32,"BP"
"GO:0044242","cellular lipid catabolic process","27/292","224/28814",3.7059897256646e-21,1.20410975268412e-18,8.80216889865985e-19,"Acot2/Acadvl/Hadha/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Eci2/Dbi/Acadl/Acaa2/Pnpla2/Lpl/Cpt1a/Eci1/Acacb/Hadh/Lipe/Etfb/Etfa/Echs1/Abcd3/Ldlr/Hsd17b4",27,"BP"
"GO:0062012","regulation of small molecule metabolic process","30/292","371/28814",2.13135728000351e-18,6.34789243227712e-16,4.64037611313045e-16,"Acadvl/Fabp3/Plin5/Mlycd/Dgat2/Dbi/Acadl/Adra1b/Ephx2/Cpt1a/Dkk3/Pdk4/Acacb/Coq3/Ddit4/Lpcat3/Entpd5/Prkag2/Appl2/Insr/Fgf1/Srebf2/Igfbp3/Ogt/Ppp1r3c/Ldlr/Ppargc1a/Insig1/Fdps/Prox1",30,"BP"
"GO:0016042","lipid catabolic process","28/292","329/28814",8.01757975915447e-18,2.20421769686293e-15,1.61130631273048e-15,"Acot2/Acadvl/Hadha/Etfdh/Hadhb/Decr1/Cpt2/Crat/Plin5/Mlycd/Eci2/Dbi/Acadl/Acaa2/Pnpla2/Lpl/Cpt1a/Cidea/Eci1/Acacb/Hadh/Lipe/Etfb/Etfa/Echs1/Abcd3/Ldlr/Hsd17b4",28,"BP"
