"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0060537","muscle tissue development","15/150","493/28814",5.01251988529792e-08,0.000134886910113367,0.000100725268010881,"Myh7/Ankrd1/Lrrc10/Csrp3/Pdlim5/Xirp2/Vegfa/Ybx3/Fhod3/Sorbs2/Csrp1/Meg3/Ppargc1a/Ccnb1/Luc7l",15,"BP"
"GO:1990845","adaptive thermogenesis","9/150","164/28814",2.10190777870392e-07,0.000223844525086953,0.000167153356565156,"Clic5/Vegfa/Fabp4/Per2/Appl2/Ogt/Ppargc1a/Acot11/Ckb",9,"BP"
"GO:0014706","striated muscle tissue development","11/150","290/28814",3.83554059098636e-07,0.000223844525086953,0.000167153356565156,"Myh7/Ankrd1/Lrrc10/Csrp3/Pdlim5/Xirp2/Vegfa/Fhod3/Sorbs2/Ccnb1/Luc7l",11,"BP"
"GO:0003012","muscle system process","13/150","430/28814",4.37956737384852e-07,0.000223844525086953,0.000167153356565156,"Nppb/Myh7/Slmap/Csrp3/Pdlim5/Klf15/Nppa/Myom1/Srl/Sorbs2/Foxo3/Abat/Myom2",13,"BP"
"GO:0071466","cellular response to xenobiotic stimulus","9/150","180/28814",4.61994404789855e-07,0.000223844525086953,0.000167153356565156,"Ankrd1/Prnp/Sult1a1/Gstm1/Dpep1/Gsto1/Rorc/Gstm7/Gstm2",9,"BP"
"GO:0031667","response to nutrient levels","12/150","373/28814",6.45373255829266e-07,0.000223844525086953,0.000167153356565156,"Clic5/Lpl/Bckdhb/Sesn1/Slc2a1/Glul/Gabarapl1/Cdkn1a/Appl2/Insr/Foxo3/Ppargc1a",12,"BP"
"GO:0006631","fatty acid metabolic process","13/150","446/28814",6.60285870925949e-07,0.000223844525086953,0.000167153356565156,"Lpl/Tecrl/Fabp4/Per2/Appl2/Alkbh7/Acadsb/Ptgds/Ankrd23/Echs1/Gstm7/Ppargc1a/Acot11",13,"BP"
"GO:0001659","temperature homeostasis","9/150","188/28814",6.65461241432785e-07,0.000223844525086953,0.000167153356565156,"Vegfa/Fabp4/Per2/Appl2/Ogt/Sqstm1/Ppargc1a/Acot11/Abat",9,"BP"
"GO:0006575","cellular modified amino acid metabolic process","9/150","203/28814",1.26131125868834e-06,0.000366646569005297,0.000273789160840662,"Clic5/Gstm1/Ckmt2/Dpep1/Gsto1/Serinc3/Gstm7/Gstm2/Ckb",9,"BP"
"GO:0003300","cardiac muscle hypertrophy","7/150","107/28814",1.51915532870978e-06,0.000366646569005297,0.000273789160840662,"Nppb/Myh7/Csrp3/Pdlim5/Klf15/Nppa/Sorbs2",7,"BP"
