"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Fatty acid degradation","15/50",1.18174025395363e-15,2.62346336377706e-13,0,0,27.5126050420168,945.657434748159,"ACADVL;CPT1A;ACAA2;ECHS1;ACSL1;ECI1;ECI2;CPT1B;ACADSB;HADHB;HADHA;CPT2;ACADL;HADH;ALDH9A1"
"2","Valine, leucine and isoleucine degradation","14/56",1.79496104183244e-13,1.99240675643401e-11,0,0,21.3213897937025,625.75342856595,"ACAA2;ECHS1;HMGCS1;BCKDHB;ABAT;ACADSB;HADHB;HADHA;ALDH6A1;OXCT1;HMGCS2;HADH;BCAT2;ALDH9A1"
"3","PPAR signaling pathway","16/85",3.86712041208419e-13,2.8616691049423e-11,0,0,14.9090045141364,426.115690153805,"SLC27A1;CPT1A;ACSL1;SCD4;LPL;DBI;CPT1B;FABP3;FABP4;CPT2;ACADL;ME1;SCD2;HMGCS2;ANGPTL4;PLIN5"
"4","AMPK signaling pathway","13/126",1.23663301899629e-07,6.86331325542942e-06,0,0,7.30829789679347,116.243617767849,"CPT1A;INSR;SCD4;PRKAG2;FOXO3;CPT1B;ACACB;RAB11B;LIPE;FASN;SCD2;MLYCD;PPARGC1A"
"5","Butanoate metabolism","7/27",1.73207773100801e-07,7.69042512567557e-06,0,0,21.912898089172,341.156957213403,"HADHA;ECHS1;HMGCS1;OXCT1;ABAT;HMGCS2;HADH"
"6","Fatty acid elongation","7/29",2.9614940725081e-07,1.095752806828e-05,0,0,19.9187898089172,299.427250895827,"HADHB;HADHA;ECHS1;ACAA2;ACOT2;ACOT1;HADH"
"7","Propanoate metabolism","7/31",4.85387274264035e-07,1.5393710698088e-05,0,0,18.2570329087049,265.426564056931,"HADHA;ALDH6A1;ECHS1;BCKDHB;ABAT;MLYCD;ACACB"
"8","Cell cycle","12/123",6.97408204696995e-07,1.93530776803416e-05,0,0,6.84614711799178,97.050262275297,"RBL2;CCNB1;CDKN1A;CCND2;PCNA;TFDP2;MCM3;MCM4;MCM5;MCM6;YWHAG;MCM2"
"9","Peroxisome","9/84",8.09041285309825e-06,0.00019956351704309,0,0,7.54,88.4052241993863,"ABCD3;ACSL1;EPHX2;ECI2;CAT;HSD17B4;MLYCD;CRAT;DHRS4"
"10","FoxO signaling pathway","11/132",9.45887961775699e-06,0.000207233534904567,0,0,5.73548387096774,66.3512698788941,"RBL2;GABARAPL1;CCNB1;CDKN1A;CCND2;INSR;BNIP3;CAT;PRKAG2;FOXO3;SGK1"
"11","beta-Alanine metabolism","6/32",1.039713183923e-05,0.000207233534904567,0,0,14.3978021978022,165.20010273368,"HADHA;ALDH6A1;ECHS1;ABAT;MLYCD;ALDH9A1"
"12","Insulin resistance","10/110",1.12018126975442e-05,0.000207233534904567,0,0,6.29549839228296,71.7651243676971,"SLC27A1;CPT1A;PPP1R3C;INSR;SLC2A1;PRKAG2;CPT1B;ACACB;PPARGC1A;OGT"
"13","DNA replication","6/35",1.7883987800426e-05,0.000305403483976505,0,0,12.9064039408867,141.087707035303,"PCNA;MCM3;MCM4;MCM5;MCM6;MCM2"
"14","Regulation of lipolysis in adipocytes","7/56",3.03626191941839e-05,0.000481464390079203,0,0,8.93084622383985,92.9013268306454,"LIPE;FABP4;INSR;NPPA;PRKACA;ADCY6;PNPLA2"
"15","Thermogenesis","13/231",9.7849530070306e-05,0.00144817304504053,0,0,3.76791671631121,34.7857073024212,"CPT1A;ACSL1;PRKAG2;CPT1B;ADCY6;NPPB;LIPE;CPT2;NPPA;SLC25A20;PRKACA;PPARGC1A;PNPLA2"
"16","Tryptophan metabolism","6/48",0.000113484994848316,0.00157460430352038,0,0,8.90566893424036,80.8976711017174,"HADHA;DDC;ECHS1;CAT;HADH;ALDH9A1"
"17","Adipocytokine signaling pathway","7/71",0.000141797235605501,0.0017960626774883,0,0,6.83245421974522,60.5431450760355,"CPT1A;ACSL1;SLC2A1;PRKAG2;CPT1B;ACACB;PPARGC1A"
"18","Biosynthesis of unsaturated fatty acids","5/32",0.000145626703580132,0.0017960626774883,0,0,11.516643225504,101.743370383193,"SCD4;SCD2;ACOT2;HSD17B4;ACOT1"
"19","Longevity regulating pathway","8/102",0.000239343609242916,0.0027965411185225,0,0,5.32526680715111,44.3999996102741,"SESN1;INSR;CAT;PRKAG2;PRKACA;FOXO3;PPARGC1A;ADCY6"
"20","Ovarian steroidogenesis","6/57",0.000297376886296407,0.00330088343789011,0,0,7.33071895424837,59.5291783800154,"INSR;ACOT2;PRKACA;HSD17B7;LDLR;ADCY6"
"21","Terpenoid backbone biosynthesis","4/23",0.000453124574718248,0.0047901740755929,0,0,13.0566163041674,100.52737349365,"FDPS;IDI1;HMGCS1;HMGCS2"
"22","Synthesis and degradation of ketone bodies","3/11",0.000614212828898881,0.0059343174848536,0,0,23.1969339622642,171.545248394357,"HMGCS1;OXCT1;HMGCS2"
"23","GABAergic synapse","7/90",0.000614816676358707,0.0059343174848536,0,0,5.26329521909293,38.9177860430271,"GABARAPL1;GNG2;ABAT;PRKACA;GLUL;SLC38A2;ADCY6"
"24","p53 signaling pathway","6/71",0.000973077274498377,0.00900096478910999,0,0,5.74769230769231,39.8605166409682,"CDKN1A;CCNB1;CCND2;SESN1;IGFBP3;CCNG1"
"25","Glucagon signaling pathway","7/102",0.00129103778116448,0.0111633619905515,0,0,4.59564197116996,30.5716299975511,"CPT1A;SLC2A1;PRKAG2;PRKACA;CPT1B;ACACB;PPARGC1A"
"26","Fatty acid biosynthesis","3/14",0.00130742077366819,0.0111633619905515,0,0,16.8679245283019,111.997940907676,"ACSL1;FASN;ACACB"
"27","Apelin signaling pathway","8/138",0.00176415499067763,0.0145052743677938,0,0,3.84349963135906,24.3681084492184,"LIPE;GABARAPL1;GNG2;PRKAG2;PRKACA;PPARGC1A;ADCY6;APLN"
"28","Insulin signaling pathway","8/139",0.00184639165517937,0.0146392481232079,0,0,3.81396483184157,24.0070855457127,"LIPE;PPP1R3C;INSR;FASN;PRKAG2;PRKACA;ACACB;PPARGC1A"
