"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Fatty acid degradation","14/50",1.25327274508698e-18,2.26842366860744e-16,0,0,54.2472613458529,2236.11406468786,"ACADVL;CPT1A;ACAA2;ACSL1;ECI1;ECI2;CPT1B;HADHB;HADHA;CPT2;ACADL;ACADM;HADH;ALDH9A1"
"2","PPAR signaling pathway","15/85",1.36336676294407e-16,1.23384692046439e-14,0,0,30.0516717325228,1097.82976954062,"SLC27A1;CPT1A;ACSL1;SCD4;DBI;CPT1B;FABP3;CPT2;ACADL;ME1;SCD2;HMGCS2;ACADM;ANGPTL4;PLIN5"
"3","Fatty acid elongation","7/29",2.07307583851023e-09,1.25075575590117e-07,0,0,42.3288590604027,846.333046136455,"HADHB;HADHA;ACAA2;ACOT7;ACOT2;ACOT1;HADH"
"4","Valine, leucine and isoleucine degradation","8/56",1.18304746075017e-08,5.35328975989451e-07,0,0,22.2927927927928,406.901140832602,"HADHB;HADHA;ACAA2;HMGCS1;HMGCS2;ACADM;HADH;ALDH9A1"
"5","Peroxisome","9/84",1.89406787507482e-08,6.85652570777083e-07,0,0,16.1379591836735,286.964446452954,"ABCD3;ACSL1;EPHX2;ECI2;CAT;HSD17B4;MLYCD;CRAT;DHRS4"
"6","AMPK signaling pathway","10/126",5.53829766772558e-08,1.67071979643055e-06,0,0,11.6485592820028,194.635702149824,"LIPE;CPT1A;FASN;SCD4;SCD2;PRKAG2;MLYCD;CPT1B;ACACB;RAB11B"
"7","Biosynthesis of unsaturated fatty acids","6/32",1.56690392387706e-07,4.05156586031068e-06,0,0,30.4892307692308,477.735574036592,"ACOT7;SCD4;SCD2;ACOT2;HSD17B4;ACOT1"
"8","DNA replication","6/35",2.75298017326391e-07,6.2286176420096e-06,0,0,27.3310344827586,412.846526045311,"PCNA;MCM3;MCM4;MCM5;MCM6;MCM2"
"9","Cell cycle","8/123",5.51999488941512e-06,0.000111013230553793,0,0,9.27332549941246,112.273390955655,"CCND2;PCNA;MCM3;MCM4;MCM5;MCM6;YWHAG;MCM2"
"10","Terpenoid backbone biosynthesis","4/23",2.80936978846433e-05,0.000508495931712045,0,0,27.4584487534626,287.763589615899,"FDPS;IDI1;HMGCS1;HMGCS2"
"11","Tryptophan metabolism","5/48",3.53666553699245e-05,0.000581942238359667,0,0,15.2479593408286,156.28763585834,"HADHA;DDC;CAT;HADH;ALDH9A1"
"12","Butanoate metabolism","4/27",5.43439338843213e-05,0.000819687669421847,0,0,22.6784897025172,222.706795732359,"HADHA;HMGCS1;HMGCS2;HADH"
"13","Propanoate metabolism","4/31",9.50964222181554e-05,0.00132403480165278,0,0,19.3148148148148,178.867145119022,"HADHA;ACADM;MLYCD;ACACB"
"14","beta-Alanine metabolism","4/32",0.000108024723386177,0.00139660535234985,0,0,18.6240601503759,170.096343097319,"HADHA;ACADM;MLYCD;ALDH9A1"
"15","Fatty acid biosynthesis","3/14",0.000159071569954125,0.00191946361077978,0,0,35.3529411764706,309.20235030853,"ACSL1;FASN;ACACB"
