"","V1","V2"
"1","Uhrf1","Dnmt1"
"2","Uhrf1","Dnmt1"
"3","Lipe","Prkaca"
"4","Lipe","Prkaca"
"5","Angptl4","Pdk4"
"6","Angptl4","Pdk4"
"7","Lipe","Pdk4"
"8","Lipe","Pdk4"
"9","Lipe","Plin5"
"10","Lipe","Plin5"
"11","Pdk4","Plin5"
"12","Pdk4","Plin5"
"13","Ccnd2","Ccng1"
"14","Ccnd2","Ccng1"
"15","Prkaca","Ccng1"
"16","Prkaca","Ccng1"
"17","Pdk4","Acot2"
"18","Pdk4","Acot2"
"19","Acot2","Dhrs4"
"20","Acot2","Dhrs4"
"21","Uhrf1","Mcm4"
"22","Uhrf1","Mcm4"
"23","Dnmt1","Mcm4"
"24","Dnmt1","Mcm4"
"25","Etfb","Eci1"
"26","Etfb","Eci1"
"27","Acot2","Eci1"
"28","Acot2","Eci1"
"29","Lpcat3","C3"
"30","Lpcat3","C3"
"31","Dnmt1","Hsd17b4"
"32","Dnmt1","Hsd17b4"
"33","Dcakd","Hsd17b4"
"34","Dcakd","Hsd17b4"
"35","Acot2","Hsd17b4"
"36","Acot2","Hsd17b4"
"37","Dhrs4","Hsd17b4"
"38","Dhrs4","Hsd17b4"
"39","Eci1","Hsd17b4"
"40","Eci1","Hsd17b4"
"41","Lipe","Cidea"
"42","Lipe","Cidea"
"43","Pdk4","Cidea"
"44","Pdk4","Cidea"
"45","Plin5","Cidea"
"46","Plin5","Cidea"
"47","Angptl4","Cpt1a"
"48","Angptl4","Cpt1a"
"49","Lipe","Cpt1a"
"50","Lipe","Cpt1a"
"51","Pdk4","Cpt1a"
"52","Pdk4","Cpt1a"
"53","Acot2","Cpt1a"
"54","Acot2","Cpt1a"
"55","Eci1","Cpt1a"
"56","Eci1","Cpt1a"
"57","Npc1","Cpt1a"
"58","Npc1","Cpt1a"
"59","Hsd17b4","Cpt1a"
"60","Hsd17b4","Cpt1a"
"61","Cidea","Cpt1a"
"62","Cidea","Cpt1a"
"63","Calr","Hspd1"
"64","Calr","Hspd1"
"65","Lipe","Acadl"
"66","Lipe","Acadl"
"67","Etfb","Acadl"
"68","Etfb","Acadl"
"69","Pdk4","Acadl"
"70","Pdk4","Acadl"
"71","Plin5","Acadl"
"72","Plin5","Acadl"
"73","Acot2","Acadl"
"74","Acot2","Acadl"
"75","Eci1","Acadl"
"76","Eci1","Acadl"
"77","Hsd17b4","Acadl"
"78","Hsd17b4","Acadl"
"79","Cidea","Acadl"
"80","Cidea","Acadl"
"81","Cpt1a","Acadl"
"82","Cpt1a","Acadl"
"83","Uhrf1","Mcm6"
"84","Uhrf1","Mcm6"
"85","Dnmt1","Mcm6"
"86","Dnmt1","Mcm6"
"87","Mcm4","Mcm6"
"88","Mcm4","Mcm6"
"89","Cyp51","Hsd17b7"
"90","Cyp51","Hsd17b7"
"91","Acadl","Aldh9a1"
"92","Acadl","Aldh9a1"
"93","Acot2","Crat"
"94","Acot2","Crat"
"95","Dhrs4","Crat"
"96","Dhrs4","Crat"
"97","Eci1","Crat"
"98","Eci1","Crat"
"99","Hsd17b4","Crat"
"100","Hsd17b4","Crat"
"101","Acadl","Crat"
"102","Acadl","Crat"
"103","Acot2","Cat"
"104","Acot2","Cat"
"105","Dhrs4","Cat"
"106","Dhrs4","Cat"
"107","Hsd17b4","Cat"
"108","Hsd17b4","Cat"
"109","Hspd1","Cat"
"110","Hspd1","Cat"
"111","Acadl","Cat"
"112","Acadl","Cat"
"113","Aldh9a1","Cat"
"114","Aldh9a1","Cat"
"115","Crat","Cat"
"116","Crat","Cat"
"117","Ccnd2","Pcna"
"118","Ccnd2","Pcna"
"119","Uhrf1","Pcna"
"120","Uhrf1","Pcna"
"121","Dnmt1","Pcna"
"122","Dnmt1","Pcna"
"123","Ccng1","Pcna"
"124","Ccng1","Pcna"
"125","Mcm4","Pcna"
"126","Mcm4","Pcna"
"127","Mcm6","Pcna"
"128","Mcm6","Pcna"
"129","Etfb","Etfdh"
"130","Etfb","Etfdh"
"131","Acot2","Etfdh"
"132","Acot2","Etfdh"
"133","Eci1","Etfdh"
"134","Eci1","Etfdh"
"135","Hsd17b4","Etfdh"
"136","Hsd17b4","Etfdh"
"137","Acadl","Etfdh"
"138","Acadl","Etfdh"
"139","Ptp4a1","Lrrc39"
"140","Ptp4a1","Lrrc39"
"141","Etfb","Hadh"
"142","Etfb","Hadh"
"143","Eci1","Hadh"
"144","Eci1","Hadh"
"145","Hsd17b4","Hadh"
"146","Hsd17b4","Hadh"
"147","Cpt1a","Hadh"
"148","Cpt1a","Hadh"
"149","Acadl","Hadh"
"150","Acadl","Hadh"
"151","Aldh9a1","Hadh"
"152","Aldh9a1","Hadh"
"153","Crat","Hadh"
"154","Crat","Hadh"
"155","Etfdh","Hadh"
"156","Etfdh","Hadh"
"157","Hsd17b4","Abcd3"
"158","Hsd17b4","Abcd3"
"159","Cat","Abcd3"
"160","Cat","Abcd3"
"161","Lipe","Decr1"
"162","Lipe","Decr1"
"163","Etfb","Decr1"
"164","Etfb","Decr1"
"165","Dcakd","Decr1"
"166","Dcakd","Decr1"
"167","Acot2","Decr1"
"168","Acot2","Decr1"
"169","Eci1","Decr1"
"170","Eci1","Decr1"
"171","Hsd17b4","Decr1"
"172","Hsd17b4","Decr1"
"173","Acadl","Decr1"
"174","Acadl","Decr1"
"175","Crat","Decr1"
"176","Crat","Decr1"
"177","Etfdh","Decr1"
"178","Etfdh","Decr1"
"179","Hadh","Decr1"
"180","Hadh","Decr1"
"181","Etfb","Coq3"
"182","Etfb","Coq3"
"183","Etfdh","Coq3"
"184","Etfdh","Coq3"
"185","Etfb","Hsdl2"
"186","Etfb","Hsdl2"
"187","Dhrs4","Hsdl2"
"188","Dhrs4","Hsdl2"
"189","Eci1","Hsdl2"
"190","Eci1","Hsdl2"
"191","Hsd17b4","Hsdl2"
"192","Hsd17b4","Hsdl2"
"193","Acadl","Hsdl2"
"194","Acadl","Hsdl2"
"195","Crat","Hsdl2"
"196","Crat","Hsdl2"
"197","Cat","Hsdl2"
"198","Cat","Hsdl2"
"199","Etfdh","Hsdl2"
"200","Etfdh","Hsdl2"
"201","Abcd3","Hsdl2"
"202","Abcd3","Hsdl2"
"203","Decr1","Hsdl2"
"204","Decr1","Hsdl2"
"205","Angptl4","Cpt2"
"206","Angptl4","Cpt2"
"207","Lipe","Cpt2"
"208","Lipe","Cpt2"
"209","Etfb","Cpt2"
"210","Etfb","Cpt2"
"211","Pdk4","Cpt2"
"212","Pdk4","Cpt2"
"213","Acot2","Cpt2"
"214","Acot2","Cpt2"
"215","Eci1","Cpt2"
"216","Eci1","Cpt2"
"217","Hsd17b4","Cpt2"
"218","Hsd17b4","Cpt2"
"219","Cidea","Cpt2"
"220","Cidea","Cpt2"
"221","Cpt1a","Cpt2"
"222","Cpt1a","Cpt2"
"223","Acadl","Cpt2"
"224","Acadl","Cpt2"
"225","Aldh9a1","Cpt2"
"226","Aldh9a1","Cpt2"
"227","Crat","Cpt2"
"228","Crat","Cpt2"
"229","Cat","Cpt2"
"230","Cat","Cpt2"
"231","Etfdh","Cpt2"
"232","Etfdh","Cpt2"
"233","Hadh","Cpt2"
"234","Hadh","Cpt2"
"235","Abcd3","Cpt2"
"236","Abcd3","Cpt2"
"237","Decr1","Cpt2"
"238","Decr1","Cpt2"
"239","Hsdl2","Cpt2"
"240","Hsdl2","Cpt2"
"241","Lipe","Prkag2"
"242","Lipe","Prkag2"
"243","Prkaca","Prkag2"
"244","Prkaca","Prkag2"
"245","Fkbp10","Fkbp4"
"246","Fkbp10","Fkbp4"
"247","Lipe","Ucp3"
"248","Lipe","Ucp3"
"249","Pdk4","Ucp3"
"250","Pdk4","Ucp3"
"251","Acot2","Ucp3"
"252","Acot2","Ucp3"
"253","Cidea","Ucp3"
"254","Cidea","Ucp3"
"255","Cpt1a","Ucp3"
"256","Cpt1a","Ucp3"
"257","Acadl","Ucp3"
"258","Acadl","Ucp3"
"259","Cpt2","Ucp3"
"260","Cpt2","Ucp3"
"261","Lipe","Dgat2"
"262","Lipe","Dgat2"
"263","Lpcat3","Dgat2"
"264","Lpcat3","Dgat2"
"265","Pdk4","Dgat2"
"266","Pdk4","Dgat2"
"267","Plin5","Dgat2"
"268","Plin5","Dgat2"
"269","Eci1","Dgat2"
"270","Eci1","Dgat2"
"271","Cidea","Dgat2"
"272","Cidea","Dgat2"
"273","Cpt1a","Dgat2"
"274","Cpt1a","Dgat2"
"275","Scd2","Dgat2"
"276","Scd2","Dgat2"
"277","Acadl","Dgat2"
"278","Acadl","Dgat2"
"279","Cpt2","Dgat2"
"280","Cpt2","Dgat2"
"281","Ucp3","Dgat2"
"282","Ucp3","Dgat2"
"283","Lipe","Acsl1"
"284","Lipe","Acsl1"
"285","Pdk4","Acsl1"
"286","Pdk4","Acsl1"
"287","Plin5","Acsl1"
"288","Plin5","Acsl1"
"289","Acot2","Acsl1"
"290","Acot2","Acsl1"
"291","Eci1","Acsl1"
"292","Eci1","Acsl1"
"293","Hsd17b4","Acsl1"
"294","Hsd17b4","Acsl1"
"295","Cpt1a","Acsl1"
"296","Cpt1a","Acsl1"
"297","Acadl","Acsl1"
"298","Acadl","Acsl1"
"299","Crat","Acsl1"
"300","Crat","Acsl1"
"301","Cat","Acsl1"
"302","Cat","Acsl1"
"303","Hadh","Acsl1"
"304","Hadh","Acsl1"
"305","Abcd3","Acsl1"
"306","Abcd3","Acsl1"
"307","Decr1","Acsl1"
"308","Decr1","Acsl1"
"309","Hsdl2","Acsl1"
"310","Hsdl2","Acsl1"
"311","Cpt2","Acsl1"
"312","Cpt2","Acsl1"
"313","Dgat2","Acsl1"
"314","Dgat2","Acsl1"
"315","Lipe","Slc27a1"
"316","Lipe","Slc27a1"
"317","Pdk4","Slc27a1"
"318","Pdk4","Slc27a1"
"319","Plin5","Slc27a1"
"320","Plin5","Slc27a1"
"321","Acot2","Slc27a1"
"322","Acot2","Slc27a1"
"323","Cidea","Slc27a1"
"324","Cidea","Slc27a1"
"325","Cpt1a","Slc27a1"
"326","Cpt1a","Slc27a1"
"327","Acadl","Slc27a1"
"328","Acadl","Slc27a1"
"329","Cpt2","Slc27a1"
"330","Cpt2","Slc27a1"
"331","Ucp3","Slc27a1"
"332","Ucp3","Slc27a1"
"333","Dgat2","Slc27a1"
"334","Dgat2","Slc27a1"
"335","Acsl1","Slc27a1"
"336","Acsl1","Slc27a1"
"337","Calr","Acta1"
"338","Calr","Acta1"
"339","Nkx2-5","Acta1"
"340","Nkx2-5","Acta1"
"341","Lamc1","Acta1"
"342","Lamc1","Acta1"
"343","Cyp51","Ldlr"
"344","Cyp51","Ldlr"
"345","Npc1","Ldlr"
"346","Npc1","Ldlr"
"347","Cpt1a","Ldlr"
"348","Cpt1a","Ldlr"
"349","Dgat2","Ldlr"
"350","Dgat2","Ldlr"
"351","Nkx2-5","Aldh1a2"
"352","Nkx2-5","Aldh1a2"
"353","Dhrs4","Aldh1a2"
"354","Dhrs4","Aldh1a2"
"355","Cat","Aldh1a2"
"356","Cat","Aldh1a2"
"357","Etfb","Etfa"
"358","Etfb","Etfa"
"359","Eci1","Etfa"
"360","Eci1","Etfa"
"361","Npc1","Etfa"
"362","Npc1","Etfa"
"363","Hsd17b4","Etfa"
"364","Hsd17b4","Etfa"
"365","Hspd1","Etfa"
"366","Hspd1","Etfa"
"367","Acadl","Etfa"
"368","Acadl","Etfa"
"369","Etfdh","Etfa"
"370","Etfdh","Etfa"
"371","Hadh","Etfa"
"372","Hadh","Etfa"
"373","Decr1","Etfa"
"374","Decr1","Etfa"
"375","Hsdl2","Etfa"
"376","Hsdl2","Etfa"
"377","Cpt2","Etfa"
"378","Cpt2","Etfa"
"379","Ldlr","Tspan3"
"380","Ldlr","Tspan3"
"381","Eci1","Me1"
"382","Eci1","Me1"
"383","Hsd17b4","Me1"
"384","Hsd17b4","Me1"
"385","Cpt1a","Me1"
"386","Cpt1a","Me1"
"387","Acadl","Me1"
"388","Acadl","Me1"
"389","Lipe","Slc25a20"
"390","Lipe","Slc25a20"
"391","Etfb","Slc25a20"
"392","Etfb","Slc25a20"
"393","Pdk4","Slc25a20"
"394","Pdk4","Slc25a20"
"395","Cpt1a","Slc25a20"
"396","Cpt1a","Slc25a20"
"397","Acadl","Slc25a20"
"398","Acadl","Slc25a20"
"399","Aldh9a1","Slc25a20"
"400","Aldh9a1","Slc25a20"
"401","Crat","Slc25a20"
"402","Crat","Slc25a20"
"403","Etfdh","Slc25a20"
"404","Etfdh","Slc25a20"
"405","Hadh","Slc25a20"
"406","Hadh","Slc25a20"
"407","Decr1","Slc25a20"
"408","Decr1","Slc25a20"
"409","Hsdl2","Slc25a20"
"410","Hsdl2","Slc25a20"
"411","Cpt2","Slc25a20"
"412","Cpt2","Slc25a20"
"413","Acsl1","Slc25a20"
"414","Acsl1","Slc25a20"
"415","Slc27a1","Slc25a20"
"416","Slc27a1","Slc25a20"
"417","Etfa","Slc25a20"
"418","Etfa","Slc25a20"
"419","Fkbp10","Sec24d"
"420","Fkbp10","Sec24d"
"421","Nkx2-5","Bmpr1a"
"422","Nkx2-5","Bmpr1a"
"423","Maged1","Bmpr1a"
"424","Maged1","Bmpr1a"
"425","Lipe","Acaa2"
"426","Lipe","Acaa2"
"427","Etfb","Acaa2"
"428","Etfb","Acaa2"
"429","Dhrs4","Acaa2"
"430","Dhrs4","Acaa2"
"431","Eci1","Acaa2"
"432","Eci1","Acaa2"
"433","Hsd17b4","Acaa2"
"434","Hsd17b4","Acaa2"
"435","Cpt1a","Acaa2"
"436","Cpt1a","Acaa2"
"437","Acadl","Acaa2"
"438","Acadl","Acaa2"
"439","Aldh9a1","Acaa2"
"440","Aldh9a1","Acaa2"
"441","Crat","Acaa2"
"442","Crat","Acaa2"
"443","Etfdh","Acaa2"
"444","Etfdh","Acaa2"
"445","Hadh","Acaa2"
"446","Hadh","Acaa2"
"447","Decr1","Acaa2"
"448","Decr1","Acaa2"
"449","Hsdl2","Acaa2"
"450","Hsdl2","Acaa2"
"451","Cpt2","Acaa2"
"452","Cpt2","Acaa2"
"453","Acsl1","Acaa2"
"454","Acsl1","Acaa2"
"455","Etfa","Acaa2"
"456","Etfa","Acaa2"
"457","Slc25a20","Acaa2"
"458","Slc25a20","Acaa2"
"459","Cyp51","Dhcr24"
"460","Cyp51","Dhcr24"
"461","Scd2","Dhcr24"
"462","Scd2","Dhcr24"
"463","Hsd17b7","Dhcr24"
"464","Hsd17b7","Dhcr24"
"465","Fkbp4","Dhcr24"
"466","Fkbp4","Dhcr24"
"467","Ldlr","Dhcr24"
"468","Ldlr","Dhcr24"
"469","Hspd1","Hspb6"
"470","Hspd1","Hspb6"
"471","Acta1","Hspb6"
"472","Acta1","Hspb6"
"473","Prkaca","Fras1"
"474","Prkaca","Fras1"
"475","Lrrc39","Fras1"
"476","Lrrc39","Fras1"
"477","Ldlr","Fras1"
"478","Ldlr","Fras1"
