gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneid,regulation
ENSMUSG00000029019,484.725270188326,2.5234671340749,0.19462273015356,12.9659425293431,1.90869718718331e-38,5.37107388473384e-35,Nppb,up
ENSMUSG00000053093,10220.8672202424,1.25574390377596,0.176135033644891,7.12943857783393,1.0077913763221e-12,5.00457341112423e-10,Myh7,up
ENSMUSG00000019997,218.79558441312,1.44268507000991,0.216092323273492,6.6762439690373,2.45143750987501e-11,1.03475177291824e-08,Ctgf,up
ENSMUSG00000020044,323.285879231532,1.16015632900573,0.179774878734884,6.45338401655455,1.09379721290566e-10,4.19719821424983e-08,Timp3,up
ENSMUSG00000097815,445.010094598025,1.19907466711741,0.198096044728623,6.05299650863831,1.42175950223292e-09,5.00103904910431e-07,Gm26809,up
ENSMUSG00000024803,1108.95505396514,1.14364125351447,0.191864032850991,5.96068599476726,2.5118122325323e-09,8.48188754681507e-07,Ankrd1,up
ENSMUSG00000034842,153.293812417057,1.45705338797604,0.248470241952387,5.86409614498319,4.5158577226281e-09,1.41195818127505e-06,Art3,up
ENSMUSG00000092274,102.89300568744,1.84885961005911,0.333621763906579,5.541783570741,2.99406226271559e-08,8.42529120728168e-06,Neat1,up
ENSMUSG00000025221,158.875514827315,1.08714213163837,0.202662821785755,5.36428991789939,8.12682835684626e-08,2.1439589058905e-05,Kcnip2,up
ENSMUSG00000079037,170.968420837316,0.995061579438036,0.195235189283866,5.09673273085647,3.45565663830263e-07,7.67701403698705e-05,Prnp,up
ENSMUSG00000060187,187.992915529976,1.16708696076161,0.234930542190528,4.96779579989693,6.77182152627965e-07,0.000139433456889885,Lrrc10,up
ENSMUSG00000025372,31.6916169015508,2.12959819983096,0.429836505249268,4.95443773114611,7.25397413105863e-07,0.000145804880034278,Baiap2,up
ENSMUSG00000030826,106.04160980983,1.10735721314561,0.226125613294763,4.89708882161051,9.72668799316612e-07,0.000188332135460418,Bcat2,up
ENSMUSG00000024222,53.2451029654757,1.69616139727676,0.351448615965802,4.82620024726973,1.39162588408202e-06,0.000255393602465662,Fkbp5,up
ENSMUSG00000025509,232.792143723681,0.908558604393238,0.193183746373407,4.70307995082088,2.56266010367759e-06,0.000450707845734296,Pnpla2,up
